Cronologia del Santuario della Madonna del Rio
Data / periodo	Didascalia
22 maggio 1712	Grande concorso di popolo al pilastro della Madonna. Nella Domenica della Santissima Trinità si radunò presso l’umile pilastro una folla straordinaria di fedeli, con un entusiasmo religioso mai visto prima.
1713	Visita del Cardinale Gozzadini. Il cardinale Ulisse Giuseppe Gozzadini, vescovo d’Imola, durante la visita alla diocesi si recò alla Pieve di Gesso e volle visitare il luogo della devozione. Venerò la sacra immagine, riconobbe la legittimità del culto e ordinò una questua per costruire un tempio.
1713	La grande raccolta per il Santuario. In pochi mesi furono raccolti circa 3.000 scudi, somma enorme per l’epoca. Subito si diede inizio alla costruzione della chiesa.
2 settembre 1714	Benedizione della nuova chiesa. La nuova chiesa fu benedetta da Andrea Bargelloni, pievano di Gesso, su autorizzazione di Ludovico Cattani, vicario del cardinale Gozzadini.
settembre 1714	Completamento della fabbrica. Nel settembre del 1714 i lavori di costruzione del Santuario risultavano conclusi.
26 ottobre 1722	Permesso per un piccolo albergo e una tettoia. A causa del grande afflusso di pellegrini, fu chiesto al marchese Francesco Maria Spada, signore di Fontanelice e Tossignano, il permesso di costruire un piccolo albergo con tettoia presso il Santuario. Il permesso fu concesso con l’obbligo di pagare ogni anno quattro capponi al maggiordomo del marchese.
maggio 1727	Costruzione dell’altare laterale sinistro. L’altare di sinistra fu realizzato a spese di Giuseppe Zavagli di Gesso e benedetto dal pievano Andrea Bargelloni.
26 aprile 1736	Conferma del permesso concesso dagli Spada. Il marchese Giuseppe Spada, figlio di Francesco Maria, confermò il permesso per l’albergo e la tettoia presso il Santuario.
1736-1772	Amministrazione di don Giacomo Bargelloni. Il primo amministratore del Santuario di cui si conserva memoria fu don Giacomo Bargelloni, pievano della Pieve di Gesso, ricordato come grande benefattore dell’Oratorio.
1736-1741	Entrate del Santuario. In questo periodo il Santuario incassò la notevole somma di 311 scudi, segno della vitalità del culto e della partecipazione popolare.
15 settembre 1737	Prima processione con l’immagine della Madonna. Per iniziativa di don Giacomo Bargelloni si svolse per la prima volta la processione con l’immagine della Madonna, nella festa del Nome di Maria.
periodo di don Giacomo Bargelloni	Decorazione del coro. Per cura di don Giacomo Bargelloni fu realizzato l’ornato del coro, opera di Giambattista Verda e di altri due celebri stuccatori. Il lavoro costò 101 scudi.
giugno 1740	Costruzione dell’altare laterale destro. L’altare di destra fu realizzato a spese di Battista Santi, della parrocchia di Montemaggiore, e benedetto dall’arciprete di Croara Giuseppe Saraselli.
1772	Successione nell’amministrazione. A don Giacomo Bargelloni succedette il pievano Domenico Acerbi.
1788	Passaggio a Giuliano Marocchi. Domenico Acerbi cedette l’amministrazione del Santuario a Giuliano Marocchi, pievano di Gesso.
1788-1820	Amministrazione di Giuliano Marocchi. Giuliano Marocchi amministrò il Santuario con grande diligenza fino al 1820, curando interventi e migliorie.
14 settembre 1794	Grande festa e missioni religiose. Si svolse una festa solenne con grande apparato, cantori, musici e la partecipazione di 18 sacerdoti. Monsignor Calderini trasportò processionalmente l’immagine della Madonna alla Pieve, come protettrice delle missioni religiose tenute dai padri cappuccini.
giugno 1798	Costruzione del muro di protezione. Per proteggere il Santuario dalle frane del monte vicino, Giuliano Marocchi fece costruire un muro a ponente e a settentrione della chiesa, lungo più di trenta piedi.
1800	Nuovo organo del Santuario. Giuliano Marocchi fece realizzare a proprie spese un nuovo organo, in sostituzione del precedente ormai in pessime condizioni. L’opera fu eseguita da Pietro Cavalletti di Parma.
1803	Nuovo frontale per la Madonna. Per cura di Giuliano Marocchi fu realizzato un frontale per la Madonna, con una spesa di 4 scudi.
1820	Fine dell’amministrazione Marocchi. Si concluse l’amministrazione di Giuliano Marocchi, durata oltre trent’anni.
luglio 1851	Inizio della processione mensile del Sacramento. Per iniziativa del parroco Ceroni cominciò la devozione della processione del Sacramento ogni prima domenica del mese, uso poi cessato.
14 settembre 1851	Festa del Nome di Maria. Si celebrò la festa titolare della chiesa. La sacra immagine della Madonna fu portata in processione, cosa che avveniva solo ogni venticinque anni. Il concorso di popolo fu straordinario: circa 800 persone si accostarono ai sacramenti e furono celebrate 12 messe.
notte tra 23 e 24 oppure tra 24 e 25 maggio 1854	Furto nel Santuario. Alcuni ladri entrarono dalla finestra della sacrestia, dopo aver rotto la ferriata. Rubarono candele, candelotti e circa 30 scudi dalla cassetta delle elemosine. Uscirono poi dalla porta maggiore, lasciandola socchiusa.
